hip,proper,bayer,ra,dec,mag,con
26396,,,5.619123,26.924473,5.83,Tau
26451,Tianguan,Zet,5.627413,21.142549,2.97,Tau
26571,,,5.64927,26.618068,6.45,Tau
26616,,,5.65753,21.762929,6.42,Tau
26640,,,5.662277,25.897091,5.18,Tau
26777,,,5.688255,16.534148,4.84,Tau
26853,,,5.701107,22.660325,6.35,Tau
26964,,,5.722084,23.204372,6.23,Tau
27116,,,5.750358,12.888332,6.47,Tau
27265,,,5.779305,15.822497,6.0,Tau
27316,,,5.786987,14.488322,5.72,Tau
27338,,,5.79061,17.729141,5.47,Tau
27353,,,5.792963,25.568623,6.48,Tau
27364,,,5.795252,13.899599,5.28,Tau
27421,,,5.806213,20.869481,6.03,Tau
27468,,,5.816935,24.567535,4.88,Tau
27511,,,5.825814,12.651324,4.89,Tau
27581,,,5.841363,14.305608,5.54,Tau
27629,,,5.849475,27.967861,5.6,Tau
27743,,,5.872859,14.171787,5.6,Tau
27830,,,5.88879,27.612262,4.56,Tau
28154,,,5.948922,24.249689,6.03,Tau
28237,,,5.966571,25.953912,4.81,Tau
28500,,,6.016793,27.572362,6.04,Gem
28561,,,6.02823,22.401001,6.36,Gem
28734,,,6.068671,23.263341,4.16,Gem
29196,,,6.15901,22.190262,5.93,Gem
29225,,,6.162218,23.113466,5.75,Gem
29379,,,6.192307,24.420253,5.83,Gem
29655,Propus,Eta,6.247961,22.506799,3.31,Gem
29789,,,6.271957,23.970027,6.09,Gem
29840,,,6.282974,23.740909,6.24,Gem
30218,,,6.357201,17.763503,6.32,Gem
30343,Tejat,Mu,6.382673,22.513586,2.87,Gem
30501,,,6.412152,25.048714,6.35,Gem
30570,,,6.425816,23.327169,6.05,Gem
30769,,,6.465742,20.49632,6.22,Gem
30815,,,6.47446,16.238386,6.24,Gem
30883,,Nu,6.482719,20.212133,4.13,Gem
31105,,,6.527065,15.903501,6.38,Gem
31158,,,6.538485,17.784349,6.26,Gem
31277,,,6.560046,14.155163,5.57,Gem
31650,,,6.624247,24.590851,6.44,Gem
31681,Alhena,Gam,6.628528,16.399252,1.93,Gem
31813,,,6.651472,22.030881,6.09,Gem
31850,,,6.658745,24.600162,6.43,Gem
31876,,,6.663255,12.982768,5.99,Gem
32019,,,6.689138,28.196638,6.45,Gem
32020,,,6.689428,16.39765,6.28,Gem
32104,,,6.706757,17.645303,5.2,Gem
32246,Mebsuta,Eps,6.732202,25.131124,3.06,Gem
32249,,,6.733137,13.228017,4.49,Gem
32311,,,6.745961,28.970932,5.42,Gem
32362,Alzirr,Xi,6.754824,12.895591,3.35,Gem
32404,,,6.765055,12.693561,6.47,Gem
32539,,,6.789849,18.193452,6.35,Gem
32740,,,6.828143,32.606756,5.72,Gem
32753,,,6.83051,16.202888,5.87,Gem
32814,,,6.840416,13.413177,5.68,Gem
32921,,,6.859179,21.761148,5.28,Gem
32968,,,6.866664,23.601718,5.68,Gem
33018,,The,6.879816,33.961254,3.6,Gem
33202,,,6.910732,13.177827,4.73,Gem
33277,,,6.921853,25.375697,5.74,Gem
33421,,,6.950145,33.681039,5.91,Gem
33465,,,6.957108,11.907554,6.26,Gem
33595,,,6.979839,26.081079,6.2,Gem
33650,,,6.991092,25.914171,6.4,Gem
33715,,,7.004396,16.078998,5.73,Gem
33914,,,7.038193,15.336008,5.78,Gem
33927,,Ome,7.040217,24.215446,5.2,Gem
33929,,,7.040426,17.755521,5.96,Gem
33937,,,7.04258,16.674447,5.86,Gem
34017,,,7.058457,29.337081,5.93,Gem
34033,,,7.060576,10.951817,5.14,Gem
34055,,,7.064333,12.594242,6.01,Gem
34088,Mekbuda,Zet,7.068481,20.570297,4.01,Gem
34182,,,7.088436,22.637458,6.0,Gem
34267,,,7.103222,34.473967,5.55,Gem
34358,,,7.122889,34.009288,5.94,Gem
34367,,,7.123577,28.176695,6.47,Gem
34428,,,7.13702,33.832388,6.31,Gem
34440,,,7.139455,15.930675,5.47,Gem
34608,,,7.168524,21.246985,6.43,Gem
34693,,Tau,7.185659,30.245163,4.41,Gem
34722,,,7.189741,26.856587,5.75,Gem
34763,,,7.196347,16.976344,6.5,Gem
34819,,,7.207327,24.128594,5.85,Gem
34860,,,7.213635,27.224823,6.46,Gem
34909,,,7.222854,16.158966,5.07,Gem
35025,,,7.244993,24.884984,5.84,Gem
35152,,,7.26588,27.897419,5.75,Gem
35253,,,7.284277,26.689485,6.38,Gem
35345,,,7.301136,30.955872,6.19,Gem
35350,,Lam,7.30155,16.540383,3.58,Gem
35548,,,7.335234,15.142928,6.45,Gem
35550,Wasat,Del,7.335383,21.98232,3.5,Gem
35699,,,7.365795,20.443658,5.09,Gem
35842,,,7.39115,22.945349,6.17,Gem
35846,,,7.391254,25.050531,5.04,Gem
35933,,,7.40768,15.517195,6.47,Gem
35941,,,7.409292,27.637857,5.77,Gem
36046,,Iot,7.428779,27.79808,3.78,Gem
36156,,,7.448981,20.257557,5.94,Gem
36238,,,7.462324,21.445247,5.2,Gem
36325,,,7.47775,27.552938,6.36,Gem
36340,,,7.479793,15.109822,6.23,Gem
36366,,Rho,7.485195,31.78455,4.16,Gem
36393,,,7.489012,28.118275,5.07,Gem
36429,,,7.49688,27.916146,5.01,Gem
36616,,,7.53011,17.086046,5.45,Gem
36760,,,7.560134,15.826662,5.27,Gem
36850,Castor,Alp,7.576634,31.888276,1.58,Gem
36896,,,7.585778,30.960924,5.34,Gem
36962,,Ups,7.598708,26.895741,4.06,Gem
37165,,,7.637325,24.360441,6.37,Gem
37204,,,7.64246,35.04855,5.58,Gem
37265,Jishui,Omi,7.65276,34.584346,4.89,Gem
37269,,,7.653335,24.222528,6.18,Gem
37300,,,7.657942,17.674519,5.04,Gem
37339,,,7.665025,32.009727,6.16,Gem
37404,,,7.679773,13.771251,6.23,Gem
37428,,,7.682922,23.018527,5.93,Gem
37508,,,7.697735,13.480453,5.79,Gem
37521,,,7.700894,14.208503,5.55,Gem
37580,,,7.7121,34.000218,6.05,Gem
37629,,Sig,7.721867,28.88351,4.23,Gem
37636,,,7.722828,22.399472,6.25,Gem
37704,,,7.735254,25.784159,5.3,Gem
37740,,Kap,7.740793,24.397993,3.57,Gem
37826,Pollux,Bet,7.755277,28.026199,1.16,Gem
37908,,,7.768736,18.510043,4.89,Gem
38016,,Pi,7.791757,33.415697,5.14,Gem
38106,,,7.809344,23.14098,6.18,Gem
38147,,,7.817177,13.371869,6.07,Gem
38319,,,7.850655,33.233653,6.06,Gem
38394,,,7.865771,19.325085,6.03,Gem
38538,,Phi,7.891616,26.765783,4.97,Gem
38722,,,7.927749,19.88397,5.38,Gem
38848,,,7.949848,15.790281,5.8,Cnc
38975,,,7.975409,16.51868,6.05,Cnc
39067,,,7.993071,13.242166,6.05,Cnc
39177,,,8.013141,17.308703,5.6,Cnc
39180,,,8.013362,19.816216,6.3,Cnc
39191,,Ome-1,8.01552,25.392836,5.87,Cnc
39194,,,8.016884,23.583093,6.34,Cnc
39236,,,8.02508,16.455309,5.99,Cnc
39263,,Ome-2,8.028822,25.089465,6.32,Cnc
39424,,Chi,8.058634,27.794332,4.94,Gem
39535,,,8.079251,18.84202,6.21,Cnc
39567,,,8.08458,13.118215,5.14,Cnc
39607,,,8.093627,27.529736,6.21,Cnc
39659,,Mu-1,8.10511,22.63549,5.96,Cnc
39780,,Mu-2,8.129404,21.581816,5.3,Cnc
39874,,,8.145124,13.640917,6.25,Cnc
39958,,,8.159773,29.093076,6.47,Cnc
40007,,,8.170308,25.844481,6.44,Cnc
